designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,x,y,z
Gaia DR3 5502166746165608576,5502166746165608576,102.67553390050298,-50.558682615113554,43.075519531190125,131.663881215123,-122.83786011013392,1.2729747,14.153801,3.1632957,82.08828,NOT_AVAILABLE,0,True,True,False,False,False,True,True,3048.7483,5.0953,-0.2875,23.134,0.0,0.0,0.0,-0.01965351594075087,0.08738349548454974,-0.10887971724094204
Gaia DR3 6795084084175092480,6795084084175092480,311.43749378547375,-29.4599149438722,43.377314725082975,-329.13521144787194,-403.8857319190766,1.2871438,12.142645,2.6595545,62.233856,NOT_AVAILABLE,0,True,True,False,False,False,True,True,3163.3855,4.2093,-1.0578,23.1359,0.0014,0.0009,0.0006,0.08123365144899443,-0.09202002956380244,-0.06933305301032287
Gaia DR3 3986412584848128000,3986412584848128000,162.13684842481453,19.15009166695649,43.22064427613519,233.6832230644793,-106.59002889280036,1.105035,12.278584,2.6094627,-10.8437395,NOT_AVAILABLE,0,True,True,True,False,False,True,True,3108.0168,4.312,-0.772,23.1394,0.0005,0.0003,0.0002,-0.12673364824421848,0.04084386302786624,0.046238661860075615
Gaia DR3 3186280900821901824,3186280900821901824,70.13777426574727,-7.522879573626492,43.09901672230197,-149.05101655186155,-271.35699226236085,1.2470727,13.612723,3.0836735,-18.989332,NOT_AVAILABLE,0,True,True,False,False,False,True,True,3079.0767,5.0206,-0.064,23.1438,0.0,0.0,0.0,0.047468781857858564,0.1314016737801534,-0.018450308504976663
Gaia DR3 1705884151533269376,1705884151533269376,254.37413797878108,77.71841245360234,43.23437693019768,200.27721032868956,157.29296738196533,1.2725006,11.596392,2.4390125,-9.303519,NOT_AVAILABLE,0,True,True,True,False,False,True,True,3182.4658,4.1643,-0.861,23.1462,0.0,0.0,0.0,-0.008073668950074189,-0.028866321735502947,0.13768635380148386
Gaia DR3 153470765013858176,153470765013858176,72.71338853721517,26.12287296031043,43.27783702895512,573.5681853604435,-244.36606135076605,1.1782039,11.771088,2.4283028,64.602516,NOT_AVAILABLE,0,True,True,True,False,False,True,True,3181.491,4.2123,-0.8807,23.1487,0.0,0.0,0.0,0.037590817612667964,0.120789625678733,0.0620361901280951
Gaia DR3 4634641351610758400,4634641351610758400,8.123808299003095,-79.35583649276522,43.36626164361256,85.73908769164463,-239.3641496990768,1.0583903,15.089819,3.7071514,,NOT_AVAILABLE,0,True,False,False,False,False,True,True,2890.4734,5.1651,-0.3611,23.1502,0.0,0.0,0.0,0.025761929897695636,0.003677387990736372,-0.13846270054997828
Gaia DR3 3458273551816578560,3458273551816578560,89.60895240140414,39.19961885023152,43.03433069821919,90.67800270713433,-84.47706475080213,1.2930789,13.209757,2.912568,,NOT_AVAILABLE,0,True,True,False,False,False,True,True,3148.2368,4.9957,-0.0652,23.1526,0.0001,0.0001,0.0001,0.0007450787425769893,0.10916626173472224,0.08903469495578405
Gaia DR3 2364492097606462336,2364492097606462336,2.3338375995013143,-21.245295286813963,43.02713748148828,146.16029470042153,-103.31692589901948,1.3455069,11.219437,2.2400293,16.733068,NOT_AVAILABLE,0,False,False,True,False,False,True,True,3556.492,4.8206,-0.2089,23.1663,0.0,0.0,0.0,0.13111179207634527,0.00534355198391745,-0.05101651096206157
Gaia DR3 635964431813070848,635964431813070848,138.51257175913003,19.66755998379797,43.51486642525858,-146.55689707156012,-160.4176988621614,1.7891237,11.147005,2.4434938,12.9723215,NOT_AVAILABLE,0,True,True,True,False,False,True,True,3177.4294,4.0208,-0.8011,23.1716,0.0002,0.0002,0.0001,-0.09928976457550555,0.08780533198606065,0.047373408461417056
Gaia DR3 3327170877700242944,3327170877700242944,96.93248070000595,9.39759097272717,43.22416139411143,-172.42212961541168,-174.13492149276934,1.5506526,11.123434,2.274622,,NOT_AVAILABLE,0,False,False,False,False,False,False,True,3512.78,4.7086,-0.2922,23.1777,0.001,0.0007,0.0004,-0.016756865231502348,0.13781616401423977,0.022977350322305037
